row,col,cell_idx,x_center_m,y_center_m,lon,lat,is_riau
9,8,773,-1402500.0,-307500.0,100.4022337775174,-0.7120366434816409,False
9,9,774,-1397500.0,-307500.0,100.44714166134226,-0.7125558294980957,False
9,10,775,-1392500.0,-307500.0,100.49204958736323,-0.7130731613355027,False
9,11,776,-1387500.0,-307500.0,100.53695755542941,-0.7135886389931931,False
9,12,777,-1382500.0,-307500.0,100.58186556538993,-0.7141022624706003,False
9,13,778,-1377500.0,-307500.0,100.62677361709387,-0.7146140317669476,False
9,14,779,-1372500.0,-307500.0,100.67168171039037,-0.7151239468820649,False
9,15,780,-1367500.0,-307500.0,100.71658984512852,-0.7156320078153787,False
9,16,781,-1362500.0,-307500.0,100.76149802115741,-0.7161382145658491,False
9,17,782,-1357500.0,-307500.0,100.80640623832615,-0.716642567133515,False
9,18,783,-1352500.0,-307500.0,100.85131449648385,-0.7171450655174035,False
9,19,784,-1347500.0,-307500.0,100.89622279547962,-0.717645709717463,False
9,20,785,-1342500.0,-307500.0,100.94113113516255,-0.7181444997322413,False
9,21,786,-1337500.0,-307500.0,100.98603951538172,-0.7186414355620264,False
9,22,787,-1332500.0,-307500.0,101.03094793598628,-0.719136517205959,False
9,23,788,-1327500.0,-307500.0,101.07585639682529,-0.7196297446634183,False
9,24,789,-1322500.0,-307500.0,101.12076489774786,-0.7201211179340598,False
9,25,790,-1317500.0,-307500.0,101.1656734386031,-0.7206106370169199,False
9,26,791,-1312500.0,-307500.0,101.21058201924006,-0.721098301912033,False
9,27,792,-1307500.0,-307500.0,101.25549063950788,-0.7215841126184428,False
9,28,793,-1302500.0,-307500.0,101.30039929925564,-0.7220680691356461,False
9,29,794,-1297500.0,-307500.0,101.34530799833246,-0.7225501714631242,False
9,30,795,-1292500.0,-307500.0,101.3902167365874,-0.723030419600615,False
9,31,796,-1287500.0,-307500.0,101.43512551386956,-0.723508813547198,True
9,32,797,-1282500.0,-307500.0,101.48003433002803,-0.7239853533022887,True
9,33,798,-1277500.0,-307500.0,101.52494318491192,-0.7244600388659495,True
9,34,799,-1272500.0,-307500.0,101.5698520783703,-0.7249328702371556,True
9,35,800,-1267500.0,-307500.0,101.61476101025225,-0.725403847415431,True
9,36,801,-1262500.0,-307500.0,101.65966998040689,-0.7258729704001293,True
9,37,802,-1257500.0,-307500.0,101.70457898868328,-0.7263402391907839,True
9,38,803,-1252500.0,-307500.0,101.74948803493054,-0.7268056537871065,True
9,39,804,-1247500.0,-307500.0,101.79439711899772,-0.7272692141881711,True
9,40,805,-1242500.0,-307500.0,101.8393062407339,-0.7277309203942239,True
9,41,806,-1237500.0,-307500.0,101.88421539998822,-0.7281907724035086,True
9,42,807,-1232500.0,-307500.0,101.92912459660971,-0.7286487702168851,True
9,43,808,-1227500.0,-307500.0,101.97403383044748,-0.7291049138327595,True
9,44,809,-1222500.0,-307500.0,102.01894310135062,-0.7295592032513382,True
9,45,810,-1217500.0,-307500.0,102.06385240916818,-0.7300116384713086,True
9,46,811,-1212500.0,-307500.0,102.10876175374925,-0.7304622194927283,True
9,47,812,-1207500.0,-307500.0,102.15367113494293,-0.7309109463148399,True
9,48,813,-1202500.0,-307500.0,102.19858055259829,-0.7313578189376901,True
9,49,814,-1197500.0,-307500.0,102.2434900065644,-0.731802837360003,True
9,50,815,-1192500.0,-307500.0,102.28839949669033,-0.7322460015815603,True
9,51,816,-1187500.0,-307500.0,102.3333090228252,-0.7326873116020891,True
9,52,817,-1182500.0,-307500.0,102.37821858481804,-0.733126767420619,True
9,53,818,-1177500.0,-307500.0,102.42312818251796,-0.7335643690370806,True
9,54,819,-1172500.0,-307500.0,102.46803781577401,-0.7340001164507849,True
9,55,820,-1167500.0,-307500.0,102.51294748443527,-0.7344340096612025,True
9,56,821,-1162500.0,-307500.0,102.55785718835082,-0.7348660486676536,True
9,57,822,-1157500.0,-307500.0,102.60276692736973,-0.7352962334702212,True
9,58,823,-1152500.0,-307500.0,102.64767670134108,-0.7357245640676289,True
9,59,824,-1147500.0,-307500.0,102.69258651011394,-0.7361510404602034,True
9,60,825,-1142500.0,-307500.0,102.73749635353737,-0.7365756626465588,True
9,61,826,-1137500.0,-307500.0,102.78240623146044,-0.7369984306270109,True
9,62,827,-1132500.0,-307500.0,102.82731614373223,-0.7374193444007682,True
