cell_idx,row,col,is_riau,peat_frac,peat_depth_m
368,4,28,False,0.0,0.0
369,4,29,False,0.0,0.0
370,4,30,False,0.0,0.0
371,4,31,False,0.0,0.0
372,4,32,False,0.0,0.0
373,4,33,False,0.0,0.0
374,4,34,False,0.0,0.0
375,4,35,False,0.0,0.0
376,4,36,False,0.0,0.0
377,4,37,False,0.0,0.0
378,4,38,True,0.0,0.0
379,4,39,True,0.0,0.0
380,4,40,True,0.0,0.0
381,4,41,True,0.0,0.0
382,4,42,False,0.0,0.0
383,4,43,False,0.0,0.0
384,4,44,False,0.0,0.0
385,4,45,False,0.0,0.0
386,4,46,False,0.0,0.0
387,4,47,False,0.0,0.0
388,4,48,False,0.0,0.0
389,4,49,False,0.0,0.0
390,4,50,False,0.0,0.0
391,4,51,True,0.0,0.0
392,4,52,True,0.0,0.0
393,4,53,True,0.0,0.0
394,4,54,True,0.0,0.0
395,4,55,True,0.0,0.0
396,4,56,True,0.0,0.0
397,4,57,True,0.0,0.0
398,4,58,True,0.0,0.0
399,4,59,True,0.0,0.0
400,4,60,True,0.0,0.0
401,4,61,True,0.0,0.0
402,4,62,False,0.0,0.0
403,4,63,False,0.0,0.0
404,4,64,False,0.0,0.0
405,4,65,False,0.0,0.0
406,4,66,False,0.0,0.0
407,4,67,False,0.0,0.0
408,4,68,False,0.0,0.0
409,4,69,False,0.0,0.0
410,4,70,False,0.0,0.0
411,4,71,False,0.0,0.0
412,4,72,False,0.0,0.0
413,4,73,False,0.0,0.0
414,4,74,False,0.0,0.0
415,4,75,False,0.0,0.0
416,4,76,False,0.0,0.0
417,4,77,False,0.0,0.0
418,4,78,False,0.0,0.0
419,4,79,False,0.0,0.0
420,4,80,False,0.0,0.0
421,4,81,False,0.0,0.0
422,4,82,False,0.0,0.0
423,4,83,False,0.0,0.0
424,4,84,False,0.0,0.0
425,5,0,False,0.0,0.0
426,5,1,False,0.0,0.0
427,5,2,False,0.0,0.0
428,5,3,False,0.0,0.0
429,5,4,False,0.0,0.0
430,5,5,False,0.0,0.0
431,5,6,False,0.0,0.0
432,5,7,False,0.0,0.0
433,5,8,False,0.0,0.0
434,5,9,False,0.0,0.0
435,5,10,False,0.0,0.0
436,5,11,False,0.0,0.0
437,5,12,False,0.0,0.0
438,5,13,False,0.0,0.0
439,5,14,False,0.0,0.0
440,5,15,False,0.0,0.0
441,5,16,False,0.0,0.0
442,5,17,False,0.0,0.0
443,5,18,False,0.0,0.0
444,5,19,False,0.0,0.0
445,5,20,False,0.0,0.0
446,5,21,False,0.0,0.0
447,5,22,False,0.0,0.0
448,5,23,False,0.0,0.0
449,5,24,False,0.0,0.0
450,5,25,False,0.0,0.0
451,5,26,False,0.0,0.0
452,5,27,False,0.0,0.0
453,5,28,False,0.0,0.0
454,5,29,False,0.0,0.0
455,5,30,False,0.0,0.0
456,5,31,False,0.0,0.0
457,5,32,False,0.0,0.0
458,5,33,False,0.0,0.0
459,5,34,False,0.0,0.0
460,5,35,False,0.0,0.0
461,5,36,False,0.0,0.0
462,5,37,False,0.0,0.0
463,5,38,True,0.0,0.0
464,5,39,True,0.0,0.0
465,5,40,True,0.0,0.0
466,5,41,True,0.0,0.0
467,5,42,True,0.0,0.0
468,5,43,False,0.0,0.0
469,5,44,False,0.0,0.0
